# RIGHT05
35.6483886883,128.399002068,GO
35.6483813017,128.398982545,GO
35.6483779467,128.398963703,GO
35.6483783933,128.398943632,GO
35.6483829367,128.39892678,GO
35.6483913767,128.398909855,GO

# RIGHT08
35.648704795,128.399434252,GO
35.6486951817,128.399421335,GO
35.6486862367,128.399408795,GO
35.6486764833,128.39939449,GO
35.6486686983,128.399381065,GO
35.648662055,128.39936613,GO
35.6486580633,128.39935234,GO
35.6486560733,128.399337578,GO
35.6486564667,128.39932421,GO
35.64865929,128.399309423,GO
35.6486648617,128.399294823,GO

# RIGHT09
35.64882213,128.399498313,GO
35.6488120283,128.399506872,GO
35.6488017983,128.399512867,GO
35.6487930767,128.399515817,GO
35.6487841967,128.39951586,GO
35.6487767033,128.399514002,GO
35.648769245,128.39951011,GO
35.6487623567,128.399505097,GO

# RIGHT12
35.6485024667,128.399223373,GO
35.6485082217,128.399237068,GO
35.648511915,128.399249898,GO
35.648514045,128.399264038,GO
35.6485140817,128.39927813,GO
35.6485111967,128.39929493,GO

# RIGHT16
35.6487368283,128.399537568,GO
35.64873975,128.39954721,GO
35.6487408767,128.399555843,GO
35.6487407733,128.399565142,GO
35.64873892,128.399574993,GO
35.64873459,128.399587028,GO

# RIGHT17
35.6475841783,128.399970015,GO
35.64758033,128.399954293,GO
35.64757907,128.399937323,GO
35.6475804617,128.399922182,GO
35.6475844467,128.399907107,GO
35.64758985,128.399894388,GO
35.647597645,128.399881445,GO

# RIGHT19
35.6482965317,128.399032585,GO
35.6483124283,128.39902559,GO
35.6483271717,128.39902329,GO
35.648342275,128.399025652,GO
35.648354805,128.39903147,GO

# RIGHT20
35.6478385983,128.400315413,GO
35.6478332333,128.40030144,GO
35.647829845,128.400286803,GO
35.647828925,128.400270628,GO
35.6478305333,128.40025663,GO
35.6478346717,128.40024168,GO
35.6478410917,128.400227137,GO
35.64785093,128.400211157,GO
35.64786193,128.400197018,GO

# RIGHT21
35.6479758467,128.400444097,GO
35.6479669983,128.400447922,GO
35.6479579717,128.400449043,GO
35.6479502417,128.400447718,GO
35.6479417733,128.400444147,GO
35.6479335067,128.400438723,GO

# RIGHT22
35.6474852017,128.400018567,GO
35.64749837,128.400007585,GO
35.6475127833,128.399999763,GO
35.6475261483,128.399996397,GO
35.6475391733,128.399996857,GO
35.647552315,128.400001297,GO

# RIGHT24
35.647672305,128.400152477,GO
35.647680025,128.400170967,GO
35.6476839267,128.400188875,GO
35.647684415,128.400208208,GO
35.6476811633,128.400224548,GO
35.64767422,128.400240797,GO

# RIGHT28
35.64790593,128.400468962,GO
35.6479104667,128.40048184,GO
35.6479119467,128.400494478,GO
35.6479107283,128.40050585,GO
35.6479070733,128.400517997,GO
35.6479012667,128.400530312,GO

# RIGHT33
35.6470638667,128.401467355,GO
35.64704993,128.401475558,GO
35.6470371967,128.401479233,GO
35.64702481,128.401479398,GO
35.6470119967,128.401476208,GO
35.646999715,128.401469665,GO
