35.6476790995,128.400396065,35.6477029845,128.40037269,STRAIGHT
35.6476790995,128.400396065,35.6476583529,128.400368892,LANE_CHANGE_LEFT
35.6476790995,128.400396065,35.6476990225,128.400373713,STRAIGHT
35.6476583529,128.400368892,35.6476782577,128.400346518,STRAIGHT
35.6476583529,128.400368892,35.6476790995,128.400396065,LANE_CHANGE_RIGHT
35.6476583529,128.400368892,35.6476760391,128.400342768,STRAIGHT
35.6478814725,128.400376514,35.6478632458,128.400352028,STRAIGHT
35.6478814725,128.400376514,35.6478612051,128.400353226,STRAIGHT
35.6478974999,128.400451852,35.64790593,128.400468962,RIGHT
35.6476284525,128.400091401,35.6476468406,128.40011572,STRAIGHT
35.6476284525,128.400091401,35.6476512254,128.400116295,STRAIGHT
35.6475898243,128.399985967,35.6475841783,128.399970015,RIGHT
35.6478307623,128.400071839,35.6478504397,128.400097949,LANE_CHANGE_LEFT
35.6478307623,128.400071839,35.6478113437,128.400090465,STRAIGHT
35.6478307623,128.400071839,35.6478108757,128.400094246,STRAIGHT
35.6478504397,128.400097949,35.6478307623,128.400071839,LANE_CHANGE_RIGHT
35.6478504397,128.400097949,35.6478306438,128.400120466,STRAIGHT
35.6478504397,128.400097949,35.6478388183,128.400114363,STRAIGHT
35.6487110995,128.39944456,35.6486928815,128.399420052,STRAIGHT
35.6487110995,128.39944456,35.6486846187,128.399415662,STRAIGHT
35.6487110995,128.39944456,35.648704795,128.399434252,RIGHT
35.6487291776,128.399522401,35.6487368283,128.399537568,RIGHT
35.6483914462,128.399014764,35.6483886883,128.399002068,RIGHT
35.6484589044,128.399158977,35.6484778666,128.399179039,STRAIGHT
35.6484589044,128.399158977,35.6484770865,128.399183519,STRAIGHT
35.6485061871,128.39946653,35.648485657,128.399439421,LANE_CHANGE_LEFT
35.6485061871,128.39946653,35.6485261551,128.399444199,STRAIGHT
35.6485061871,128.39946653,35.6485271041,128.399446468,STRAIGHT
35.648485657,128.399439421,35.6485065007,128.39941008,STRAIGHT
35.648485657,128.399439421,35.6485055978,128.399417057,STRAIGHT
35.648485657,128.399439421,35.6485061871,128.39946653,LANE_CHANGE_RIGHT
35.6486843931,128.399164336,35.6486644342,128.399186678,STRAIGHT
35.6486843931,128.399164336,35.6486640944,128.399136629,LANE_CHANGE_RIGHT
35.6486843931,128.399164336,35.6486640222,128.399192657,STRAIGHT
35.6486640944,128.399136629,35.6486441537,128.399158993,STRAIGHT
35.6486640944,128.399136629,35.6486843931,128.399164336,LANE_CHANGE_LEFT
35.6486640944,128.399136629,35.648646112,128.399153941,STRAIGHT
35.6493389837,128.398533397,35.6493571015,128.398514339,STRAIGHT
35.6493389837,128.398533397,35.6493180063,128.398505209,LANE_CHANGE_LEFT
35.6493180063,128.398505209,35.6493389837,128.398533397,LANE_CHANGE_RIGHT
35.6492828052,128.398219745,35.6492939777,128.398238054,STRAIGHT
35.6492828052,128.398219745,35.6493011217,128.398244087,STRAIGHT
35.6469521847,128.401107954,35.6469542472,128.401042236,LANE_CHANGE_RIGHT
35.6469521847,128.401107954,35.646935912,128.401130057,STRAIGHT
35.6469542472,128.401042236,35.6469867413,128.401069277,LANE_CHANGE_LEFT
35.6469542472,128.401042236,35.646939856,128.401043801,STRAIGHT
35.6468332825,128.401043669,35.6468320763,128.401073083,STRAIGHT
35.6469123937,128.401361451,35.6469066554,128.40133527,STRAIGHT
35.6469123937,128.401361451,35.6469038331,128.401333424,STRAIGHT
35.6469123937,128.401361451,35.6469031257,128.401338025,STRAIGHT
35.6470201597,128.400586156,35.6470007325,128.400610315,STRAIGHT
35.6470201597,128.400586156,35.6470201597,128.400586156,LANE_CHANGE_LEFT
35.6470201597,128.400586156,35.6470350381,128.400566537,STRAIGHT
